이름,주소,전화번호,꿀벌포획기 보유,위도,경도
관악소방서,서울특별시 관악구 관악로 97,02-6981-8274,보유,37.47394276,126.9523549
서초소방서,서울특별시 서초구 사평대로 67,02-591-0119,보유,37.49842142,126.9919524
구로소방서,서울특별시 구로구 경인로 408,02-2615-0119,보유,37.49779884,126.8651867
마포소방서,서울특별시 마포구 창전로 76,02-701-3495,미보유,37.54938267,126.9331812
중랑소방서,서울특별시 중랑구 신내로 183,02-6981-8884,미보유,37.61535507,127.0948554
동대문소방서,서울특별시 동대문구 장한로 34,02-2212-0199,보유,37.56400716,127.0666593
강서소방서,서울특별시 강서구 양천로 550,02-6981-5074,미보유,37.55803065,126.8602779
은평소방서,서울특별시 은평구 통일로 962,02-389-6119,미보유,37.62891281,126.91979
송파소방서,서울특별시 송파구 마천동 오금로51길 56,02-431-5119,보유,37.49979899,127.142592
중부소방서,서울특별시 중구 퇴계로 394,02-2253-0119,보유,37.56486869,127.0153975
성북소방서,서울특별시 성북구 종암로27길 3,02-6981-7278,미보유,37.60243596,127.0317554
서대문소방서,서울특별시 서대문구 연희로 182,02-6981-5510,미보유,37.57326379,126.9359034
용산소방서,서울특별시 용산구 한강대로 167,02-6943-1474,보유,37.53407957,126.9715284
동작소방서,서울특별시 동작구 여의대방로16길 55,02-847-1190,보유,37.49462419,126.9176778
양천소방서,서울특별시 양천구 목1동 919-6,02-2643-4119,미보유,37.53016108,126.8722584
성동소방서,서울특별시 성동구 행당제1동 살곶이길 331,02-2622-1777,보유,37.55366493,127.0395098
광진소방서,서울특별시 광진구 광나루로 480,02-454-0119,보유,37.54483228,127.082751
강북소방서,서울특별시 강북구 번동 한천로 911,02-6946-0119,보유,37.63304506,127.0382032
종로소방서,서울특별시 종로구 율곡로 78,02-730-0119,미보유,37.57286252,126.9789059
영등포소방서,서울특별시 영등포구 문래로 197,02-2679-0120,미보유,37.51849013,126.9041538
강남소방서,서울특별시 강남구 테헤란로 629,02-6981-7475,미보유,37.51028613,127.0667838
강동소방서,서울특별시 강동구 성내로 39,02-6981-7710,미보유,37.52927325,127.1249391
노원소방서,서울특별시 노원구 한글비석로1길 8,02-6981-6873,보유,37.63811713,127.0711369
도봉소방서,서울특별시 도봉구 도봉로 666,02-6981-8000,미보유,37.66403874,127.043039
